rank,name,score,source,SMILES
"
16,AG-670/34584025,1.546,Specs,"c1ccc(cc1)c1c(c2ccccc2)nn(c2ccccc2)c1N=Cc1ccccc1Cl	AG-670/34584025
"
17,AO-435/41051597,1.537,Specs,"c1ccc(cc1)c1c2ccccc2c(c2ccccc2)s1	AO-435/41051597
"
18,AO-476/42008145,1.535,Specs,"C(#N)c1c(c2ccc(cc2)Cl)c2c(c3ccccc3CC2)nc1OCc1ccccc1	AO-476/42008145
"
19,AO-476/40672202,1.534,Specs,"C(#N)c1c(c2c(C)nn(c3ccccc3)c2nc1OCC(=O)C)c1ccc(cc1)OC	AO-476/40672202
"
20,AG-219/34246010,1.533,Specs,"c1ccc(cc1)c1cc(nc(c2ccc(cc2)Br)n1)Nc1cccc(c1)F	AG-219/34246010
"
21,AF-886/30571011,1.531,Specs,"c1ccc(cc1)n1c(c(c(c2ccc(cc2)Cl)n1)N=Nc1ccccc1C)N	AF-886/30571011
"
22,AG-219/34246005,1.526,Specs,"c1ccc(cc1)c1cc(nc(c2ccc(cc2)Br)n1)Nc1ccc(cc1)OC	AG-219/34246005
"
23,ZINC00453870,1.526,Specs,"c1ccc(cc1)n1c2c(c(cc(C)n2)C(F)(F)F)c(C)n1	ZINC00453870
"
24,AJ-077/33272019,1.523,Specs,"c1ccc(cc1)n1c2c(c(C)n1)c(c1ccc(cc1)[N](=O)O)cc(=O)o2	AJ-077/33272019
"
25,AO-081/13877153,1.522,Specs,"c1ccc(cc1)n1c(cc(c2ccc(cc2)Br)n1)N=Cc1ccc(c(c1)Oc1ccccc1)F	AO-081/13877153
"
26,AO-081/13877152,1.517,Specs,"c1ccc(cc1)n1c(cc(c2ccc(cc2)Cl)n1)N=Cc1ccc(c(c1)Oc1ccccc1)F	AO-081/13877152
"
27,AO-638/40907341,1.517,Specs,"c1ccc(cc1)c1c2cc3c(c(c(c(c3F)F)F)F)nc2n(c2ccccc2)n1	AO-638/40907341
"
28,AE-842/31985041,1.516,Specs,"c1ccc(cc1)C1=NN(c2ccccc2)[C@H]2[C@H]1[C@@H]1CC[C@H]2C1	AE-842/31985041
"
29,AG-205/33125019,1.512,Specs,"C(#N)c1c(cc(c2ccccc2)nc1SCC=C)c1ccc(cc1)Br	AG-205/33125019
"
30,AG-664/14116010,1.509,Specs,"C(#N)c1c(cc(c2ccccc2)nc1Nc1ccc(cc1)C)c1ccccc1	AG-664/14116010
"
31,AG-219/34246017,1.507,Specs,"c1ccc(cc1)c1cc(nc(c2ccc(cc2)Br)n1)Oc1ccccc1	AG-219/34246017
"
32,AG-690/11481222,1.505,Specs,"C(#N)c1c(cc(c2ccccc2)nc1OCC)c1ccc(cc1)Br	AG-690/11481222
"
33,AO-476/15509074,1.504,Specs,"C(#N)c1c(c2c(C)nn(c3ccccc3)c2nc1OCC#N)c1ccc(cc1)[N](=O)O	AO-476/15509074
"
34,AG-690/40749446,1.503,Specs,"C(#N)c1c(cc(c2ccccc2)nc1SC(C)C)c1ccc(cc1)Cl	AG-690/40749446
"
35,AO-476/43421045,1.502,Specs,"c1ccc(cc1)n1c(c2c(c(nnc2C)N2CC[C@@H](CC2)C)n1)C	AO-476/43421045
"
36,AG-205/37022139,1.5,Specs,"C#CCSc1c(C#N)c(cc(c2cccs2)n1)c1ccc(cc1)Cl	AG-205/37022139
"
37,AG-690/40082566,1.498,Specs,"c1ccc(cc1)c1c(cn(c2ccccc2)n1)C=Nc1ccc(cc1)C	AG-690/40082566
"
38,AG-690/40749963,1.497,Specs,"C(#N)c1c(cc(c2ccc(cc2)C)nc1SCC(C)C)c1ccc(cc1)Cl	AG-690/40749963
"
39,AK-968/11986551,1.496,Specs,"c1ccc(c(c1)C=C1C(=O)N(c2ccc(cc2)CC)C(=Nc2ccc(cc2)CC)S1)F	AK-968/11986551
"
40,AO-476/43421055,1.495,Specs,"c1cc(ccc1C)n1c(c2c(c(nnc2C)N2CCCC2)n1)C	AO-476/43421055
"
41,AG-690/13705949,1.495,Specs,"c1ccc(cc1)n1c2c(c3cc(c(cc3c(c3ccc(cc3)N(C)C)n2)OC)OC)c(CC)n1	AG-690/13705949
"
42,AO-476/43250043,1.494,Specs,"c1cc(ccc1n1c(c2c(c(nnc2C)N2CCCC2)n1)C)Cl	AO-476/43250043
"
43,AK-968/11841141,1.493,Specs,"c1cc(ccc1C=C1C(=O)N(c2ccc(cc2)CC)C(=Nc2ccc(cc2)CC)S1)N(C)C	AK-968/11841141
"
44,AO-729/15184001,1.493,Specs,"c1ccc(cc1)c1c2cc(c(cc2c2cnn(c3ccccc3)c2n1)OC)OC	AO-729/15184001
"
45,AH-487/40652387,1.49,Specs,"c1ccc(cc1)c1c2c(cc(C)nc2n(Cc2ccccc2)n1)C(F)(F)F	AH-487/40652387
"
46,AG-690/40749469,1.487,Specs,"C(#N)c1c(cc(c2ccc(cc2)OC)nc1SCC(C)C)c1ccc(cc1)Cl	AG-690/40749469
"
47,AE-848/09038034,1.485,Specs,"c1cc(ccc1c1c2c(CCCC2)nc(c2ccc(cc2)C)n1)C	AE-848/09038034
